STATION,NAME,DATE,TMAX,TMIN
USW00024234,"SEATTLE BOEING FIELD, WA US",4/17/2016,77,49
USW00024234,"SEATTLE BOEING FIELD, WA US",4/18/2016,89,52
USW00024234,"SEATTLE BOEING FIELD, WA US",4/19/2016,81,53
USW00024234,"SEATTLE BOEING FIELD, WA US",4/20/2016,81,55
USW00024234,"SEATTLE BOEING FIELD, WA US",4/21/2016,73,52
USW00024234,"SEATTLE BOEING FIELD, WA US",4/22/2016,64,54
USW00024234,"SEATTLE BOEING FIELD, WA US",4/23/2016,65,53
USW00024234,"SEATTLE BOEING FIELD, WA US",4/24/2016,55,46
USW00024234,"SEATTLE BOEING FIELD, WA US",4/25/2016,59,44
USW00024234,"SEATTLE BOEING FIELD, WA US",4/26/2016,60,43
USW00024234,"SEATTLE BOEING FIELD, WA US",4/27/2016,61,50
USW00024234,"SEATTLE BOEING FIELD, WA US",4/28/2016,64,52
USW00024234,"SEATTLE BOEING FIELD, WA US",4/29/2016,61,50
USW00024234,"SEATTLE BOEING FIELD, WA US",4/30/2016,68,45
USW00024234,"SEATTLE BOEING FIELD, WA US",5/1/2016,77,50
USW00024234,"SEATTLE BOEING FIELD, WA US",5/2/2016,87,53
USW00024234,"SEATTLE BOEING FIELD, WA US",5/3/2016,74,57
USW00024234,"SEATTLE BOEING FIELD, WA US",5/4/2016,60,54
USW00024234,"SEATTLE BOEING FIELD, WA US",5/5/2016,68,52
USW00024234,"SEATTLE BOEING FIELD, WA US",5/6/2016,77,62
USW00024234,"SEATTLE BOEING FIELD, WA US",5/7/2016,82,53
USW00024234,"SEATTLE BOEING FIELD, WA US",5/8/2016,63,48
USW00024234,"SEATTLE BOEING FIELD, WA US",5/9/2016,67,47
USW00024234,"SEATTLE BOEING FIELD, WA US",5/10/2016,75,46
USW00024234,"SEATTLE BOEING FIELD, WA US",5/11/2016,81,50
USW00024234,"SEATTLE BOEING FIELD, WA US",5/12/2016,77,51
USW00024234,"SEATTLE BOEING FIELD, WA US",5/13/2016,82,54
USW00024234,"SEATTLE BOEING FIELD, WA US",5/14/2016,65,54
USW00024234,"SEATTLE BOEING FIELD, WA US",5/15/2016,57,54
USW00024234,"SEATTLE BOEING FIELD, WA US",5/16/2016,60,52
USW00024234,"SEATTLE BOEING FIELD, WA US",5/17/2016,71,53
USW00024234,"SEATTLE BOEING FIELD, WA US",5/18/2016,64,52
USW00024234,"SEATTLE BOEING FIELD, WA US",5/19/2016,63,49
USW00024234,"SEATTLE BOEING FIELD, WA US",5/20/2016,66,51
USW00024234,"SEATTLE BOEING FIELD, WA US",5/21/2016,59,52
USW00024234,"SEATTLE BOEING FIELD, WA US",5/22/2016,66,53
USW00024234,"SEATTLE BOEING FIELD, WA US",5/23/2016,65,53
USW00024234,"SEATTLE BOEING FIELD, WA US",5/24/2016,66,57
USW00024234,"SEATTLE BOEING FIELD, WA US",5/25/2016,66,54
USW00024234,"SEATTLE BOEING FIELD, WA US",5/26/2016,65,53
USW00024234,"SEATTLE BOEING FIELD, WA US",5/27/2016,64,50
USW00024234,"SEATTLE BOEING FIELD, WA US",5/28/2016,64,50
USW00024234,"SEATTLE BOEING FIELD, WA US",5/29/2016,64,52
USW00024234,"SEATTLE BOEING FIELD, WA US",5/30/2016,71,49
USW00024234,"SEATTLE BOEING FIELD, WA US",5/31/2016,79,54
USW00024234,"SEATTLE BOEING FIELD, WA US",6/1/2016,75,59
USW00024234,"SEATTLE BOEING FIELD, WA US",6/2/2016,71,59
USW00024234,"SEATTLE BOEING FIELD, WA US",6/3/2016,80,57
USW00024234,"SEATTLE BOEING FIELD, WA US",6/4/2016,81,63
USW00024234,"SEATTLE BOEING FIELD, WA US",6/5/2016,92,65
USW00024234,"SEATTLE BOEING FIELD, WA US",6/6/2016,86,65
USW00024234,"SEATTLE BOEING FIELD, WA US",6/7/2016,85,59
USW00024234,"SEATTLE BOEING FIELD, WA US",6/8/2016,67,56
USW00024234,"SEATTLE BOEING FIELD, WA US",6/9/2016,65,54
USW00024234,"SEATTLE BOEING FIELD, WA US",6/10/2016,67,51
USW00024234,"SEATTLE BOEING FIELD, WA US",6/11/2016,65,52
USW00024234,"SEATTLE BOEING FIELD, WA US",6/12/2016,70,56
USW00024234,"SEATTLE BOEING FIELD, WA US",6/13/2016,66,52
USW00024234,"SEATTLE BOEING FIELD, WA US",6/14/2016,60,48
USW00024234,"SEATTLE BOEING FIELD, WA US",6/15/2016,67,45
USW00024234,"SEATTLE BOEING FIELD, WA US",6/16/2016,71,53
USW00024234,"SEATTLE BOEING FIELD, WA US",6/17/2016,67,53
USW00024234,"SEATTLE BOEING FIELD, WA US",6/18/2016,65,51
USW00024234,"SEATTLE BOEING FIELD, WA US",6/19/2016,70,47
USW00024234,"SEATTLE BOEING FIELD, WA US",6/20/2016,76,57
USW00024234,"SEATTLE BOEING FIELD, WA US",6/21/2016,73,56
USW00024234,"SEATTLE BOEING FIELD, WA US",6/22/2016,75,56
USW00024234,"SEATTLE BOEING FIELD, WA US",6/23/2016,68,55
USW00024234,"SEATTLE BOEING FIELD, WA US",6/24/2016,69,53
USW00024234,"SEATTLE BOEING FIELD, WA US",6/25/2016,71,57
USW00024234,"SEATTLE BOEING FIELD, WA US",6/26/2016,78,56
USW00024234,"SEATTLE BOEING FIELD, WA US",6/27/2016,85,61
USW00024234,"SEATTLE BOEING FIELD, WA US",6/28/2016,79,56
USW00024234,"SEATTLE BOEING FIELD, WA US",6/29/2016,74,57
USW00024234,"SEATTLE BOEING FIELD, WA US",6/30/2016,73,57
USW00024234,"SEATTLE BOEING FIELD, WA US",7/1/2016,76,57
USW00024234,"SEATTLE BOEING FIELD, WA US",7/2/2016,76,58
USW00024234,"SEATTLE BOEING FIELD, WA US",7/3/2016,71,58
USW00024234,"SEATTLE BOEING FIELD, WA US",7/4/2016,68,58
USW00024234,"SEATTLE BOEING FIELD, WA US",7/5/2016,69,57
